date,close,volume,open,high,low,10Avg,30Avg,10NeiAvg
11:34,270.49,"4,787,699",264.5,273.88,262.24,,,
2018-10-15,259.59,6189026,259.06,263.28,254.5367,,,
2018-10-12,258.78,7189257,261,261.99,252.01,,,
2018-10-11,252.23,8128184,257.53,262.25,249.03,,,
2018-10-10,256.88,12781560,264.61,265.51,247.77,,,261.6788889
2018-10-09,262.8,12037780,255.25,266.77,253.3,,,264.38
2018-10-08,250.56,13371180,264.52,267.7599,249,,,268.9833333
2018-10-05,261.95,17900710,274.65,274.88,260,,,274.7522222
2018-10-04,281.83,9638885,293.95,294,277.67,,,276.1455556
2018-10-03,294.8,7982272,303.33,304.6,291.57,,,281.7722222
2018-10-02,301.02,11699690,313.95,316.84,299.15,264,,286.97
2018-10-01,310.7,21714210,305.77,311.44,301.05,269,,292.5733333
2018-09-28,264.77,33597290,270.26,278,260.555,275,,296.7655556
2018-09-27,307.52,7337760,312.9,314.96,306.91,276,,298.6844444
2018-09-26,309.58,7835863,301.91,313.89,301.1093,282,,299.0766667
2018-09-25,300.99,4472287,300,304.6,296.5,287,,298.8544444
2018-09-24,299.68,4834384,298.48,302.9993,293.58,293,,295.9944444
2018-09-21,299.1,5038497,297.7,300.58,295.37,297,,299.3355556
2018-09-20,298.33,7332477,303.56,305.98,293.33,299,,297.9666667
2018-09-19,299.02,8264353,280.51,300,280.5,299,,295.7311111
2018-09-18,284.96,16494280,296.69,302.64,275.5,299,,294.57
2018-09-17,294.84,6866208,290.04,300.87,288.13,296,,292.3211111
2018-09-14,295.2,6757652,288.76,297.3256,286.52,299,,290.81
2018-09-13,289.46,6333281,288.02,295,285.18,298,,286.9111111
2018-09-12,290.54,10002150,281.44,292.5,278.6463,296,,284.9033333
2018-09-11,279.44,9161061,279.47,282,273.55,295,,284.4344444
2018-09-10,285.5,14232250,273.26,286.03,271,292,,283.78
2018-09-07,263.24,22442310,260.1,268.35,252.2548,291,,284.4977778
2018-09-06,280.95,7472756,284.8,291.17,278.88,287,,286.0188889
2018-09-05,280.74,7707342,285.05,286.78,277.18,285,,287.6266667
2018-09-04,288.95,8304571,296.94,298.19,288,284,282.8496667,291.2288889
2018-08-31,301.66,5367048,302,305.3082,298.6,284,283.465,294.9811111
2018-08-30,303.15,7210625,302.26,304.6,297.72,284,284.8673333,301.6011111
2018-08-29,305.01,7410538,310.27,311.85,303.69,286,286.3463333,305.9511111
2018-08-28,311.86,7639453,318.41,318.88,311.19,288,288.1056667,310.4955556
2018-08-27,319.27,13062650,318,322.435,308.81,291,289.9383333,314.1566667
2018-08-24,322.82,3592734,320.7,323.85,319.4,295,291.8206667,314.91
2018-08-23,320.1,5138685,319.14,327.32,318.1,302,294.2293333,315.1711111
2018-08-22,321.64,5935853,320.87,323.88,314.67,306,296.1676667,318.5533333
2018-08-21,321.9,13147770,310.61,324.79,309,310,297.4946667,321.5344444
2018-08-20,308.44,17380430,291.704,308.5,288.2,314,298.398,324.6866667
2018-08-17,305.5,18895880,323.5,326.77,303.53,315,298.6453333,328.4188889
2018-08-16,335.45,6045392,339.91,342.28,333.82,315,298.472,332.3511111
2018-08-15,338.69,9073033,341.906,344.49,332.14,319,300.828,335.7744444
2018-08-14,347.64,6948511,358.45,359.1995,347.1,322,301.867,341.1566667
2018-08-13,356.41,10444920,361.13,363.19,349.02,325,303.1356667,349.06
2018-08-10,355.49,11530510,354,360,346,328,304.983,353.1144444
2018-08-09,352.45,16951800,365.55,367.01,345.73,332,306.8433333,354.5277778
2018-08-08,370.34,24535420,369.09,382.64,367.12,336,308.6216667,355.7333333
2018-08-07,379.57,30596400,343.84,387.46,339.1501,341,311.022,350.5333333
2018-08-06,341.99,8536766,345.46,354.98,341.82,349,313.707,344.0588889
2018-08-03,348.17,13646640,347.81,355,342.53,353,315.608,336.8011111
2018-08-02,349.54,23159160,328.44,349.99,323.16,355,317.3856667,330.66
2018-08-01,300.84,8768099,297.99,303,293,356,319.197,323.5833333
2018-07-31,298.14,5055094,292.25,298.32,289.07,351,319.5763333,315.7133333
2018-07-30,290.17,6799581,295.9,296.1,286.13,344,319.8296667,310.7622222
2018-07-27,297.18,5694690,307.25,307.6933,295.3404,337,320.1873333,305.7655556
2018-07-26,306.65,4619567,304.85,310.7,303.6411,331,320.5766667,301.77
2018-07-25,308.74,7031382,296.74,309.62,294.5025,324,322.0236667,303.9244444
2018-07-24,297.43,9586186,304.4209,307.7171,292.5452,316,322.95,306.7811111
2018-07-23,303.2,10974820,301.84,305.5,292.8601,311,323.5063333,310.3944444
2018-07-20,313.58,5159831,321.23,323.24,311.7093,306,323.9813333,311.83
2018-07-19,320.23,5907116,316.33,323.54,314.01,302,324.3786667,313.1877778
2018-07-18,323.85,5610085,325,325.5,316.25,304,324.948,314.0733333
2018-07-17,322.69,6987782,308.81,324.74,308.5,307,325.576,316.4655556
2018-07-16,310.1,7800454,311.71,315.16,306.25,310,325.937,318.6066667
2018-07-13,318.87,5866776,315.58,319.5849,309.25,312,325.6313333,319.1544444
2018-07-12,316.71,5711851,321.43,323.23,312.77,313,325.4996667,317.8955556
2018-07-11,318.96,4878595,315.8,321.94,315.07,314,325.3866667,316.2633333
2018-07-10,322.47,9437557,324.56,327.6771,319.2,316,325.2973333,314.9488889
2018-07-09,318.51,7579541,311.99,318.52,308,319,325.3163333,317.7233333
2018-07-06,308.9,8860198,304.955,312.07,302,319,325.652,320.3988889
2018-07-05,309.16,17457570,313.76,314.39,296.22,318,325.7653333,324.09
2018-07-03,310.86,12282640,331.75,332.49,309.69,316,324.889,326.9277778
2018-07-02,335.07,18732710,360.07,364.78,329.85,315,323.9613333,329.0977778
2018-06-29,342.95,6475903,353.33,353.86,342.41,318,323.5423333,330.7088889
2018-06-28,349.93,8388172,348.66,357.02,346.11,320,323.0936667,333.4566667
2018-06-27,344.5,8313817,345,350.79,339.5,324,322.9083333,337.7177778
2018-06-26,342,7434749,336.054,343.55,325.799,327,322.6433333,343.4244444
2018-06-25,333.01,6925089,330.12,338.47,327.5,329,321.6986667,345.3666667
2018-06-22,333.63,10253770,351.54,352.25,332,331,320.1466667,348.4644444
2018-06-21,347.51,7949846,362,366.2139,346.27,333,319.868,349.38
2018-06-20,362.22,8370268,358.04,364.38,352,338,319.846,350.8488889
2018-06-19,352.55,12734840,365.16,370,346.25,343,320.2686667,351.1577778
2018-06-18,370.83,12025450,355.4,373.73,354.5,345,321.9923333,352.2422222
2018-06-15,358.17,10827560,353.84,364.67,351.25,348,324.4153333,352.0722222
2018-06-14,357.72,10961150,347.63,358.75,346.6,349,326.682,348.7555556
2018-06-13,344.78,9401467,346.706,347.2,339.8,351,328.7,343.63
2018-06-12,342.77,22256430,344.7,354.97,338,351,329.971,339.9577778
2018-06-11,332.1,13166050,322.51,334.66,322.5,352,331.1053333,331.1022222
2018-06-08,317.66,8192175,319,324.48,317.15,352,332.261,324.2766667
2018-06-07,316.09,14336110,316.15,330,313.58,349,332.743,316.9544444
2018-06-06,319.5,18742400,300.5,322.17,297.48,344,332.8266667,310.2822222
2018-06-05,291.13,5877873,297.7,297.8,286.74,340,332.8023333,304.61
2018-06-04,296.74,4793787,294.34,299,293.548,331,331.7116667,299.2388889
